id,Reviews,Categories,Polarities
1,很好，超值，很好用,整体,正面
1,很好，超值，很好用,价格,正面
2,很好，遮暇功能差一些，总体还不错,整体,正面
2,很好，遮暇功能差一些，总体还不错,功效,负面
3,包装太随便了，连个包装盒都没有，第一感觉很不好,包装,负面
3,包装太随便了，连个包装盒都没有，第一感觉很不好,整体,负面
4,宝贝收到了，产品非常的不好，简直就是个垃圾，我都扔了。,整体,负面
5,活动价很是划算，买一送一共60片才花八十五块，天天用都不心疼啊,价格,正面
6,使用一段时间才来评价，淡淡的香味，喜欢！,气味,正面
6,使用一段时间才来评价，淡淡的香味，喜欢！,整体,正面
7,之前买过。用了还不错。继续回购,整体,正面
8,很润相对好推开。总体还可以。,使用体验,正面
8,很润相对好推开。总体还可以。,整体,正面
9,收到了，当天晚上就用了很不错哦，,整体,正面
10,做活动时买的，比较划算，也比较好用,价格,正面
10,做活动时买的，比较划算，也比较好用,整体,正面
11,好用不油腻很清爽,整体,正面
11,好用不油腻很清爽,使用体验,正面
12,气垫水润，还送了一个替换装，很值,整体,正面
12,气垫水润，还送了一个替换装，很值,价格,正面
13,一直在**买东西，质量值得信赖物流还快，以后还会继续关注的。,物流,正面
14,很好的，以前用别的品牌这个品牌以前用的日霜不错这个也应该不错。,整体,正面
15,上妆效果：容易上妆 个人情况：油性皮肤 持久情况：下午好像有点出油 整体描述：还不错 适合肤质：油性肤质,功效,正面
15,上妆效果：容易上妆 个人情况：油性皮肤 持久情况：下午好像有点出油 整体描述：还不错 适合肤质：油性肤质,功效,负面
15,上妆效果：容易上妆 个人情况：油性皮肤 持久情况：下午好像有点出油 整体描述：还不错 适合肤质：油性肤质,整体,正面
16,快递员很好，我当时没在家，给放到物业了，提醒我说，是一个小盒！用着也挺好用，自然真实！,物流,正面
16,快递员很好，我当时没在家，给放到物业了，提醒我说，是一个小盒！用着也挺好用，自然真实！,功效,正面
16,快递员很好，我当时没在家，给放到物业了，提醒我说，是一个小盒！用着也挺好用，自然真实！,整体,正面
17,一般般，还可以，价格不算贵！用起来一般般啦,整体,中性
17,一般般，还可以，价格不算贵！用起来一般般啦,整体,正面
17,一般般，还可以，价格不算贵！用起来一般般啦,价格,正面
18,一直在用，感觉还是不错，这次还有小礼品，谢谢啦！还有快递小哥，今天下了雪如期送达，感谢！,价格,正面
18,一直在用，感觉还是不错，这次还有小礼品，谢谢啦！还有快递小哥，今天下了雪如期送达，感谢！,整体,正面
18,一直在用，感觉还是不错，这次还有小礼品，谢谢啦！还有快递小哥，今天下了雪如期送达，感谢！,物流,正面
19,一直买在**买一个牌子的面膜，真的很补水，用完还来,功效,正面
20,宝贝收到非常喜欢,整体,正面
21,还不错  物流很快 用了再追评使用感受,整体,正面
21,还不错  物流很快 用了再追评使用感受,物流,正面
22,满满一箱，上百片面膜可以用很久了，发货收到的比下单的多！赞?,整体,正面
23,用着还可以主要按压比较方便不用倒出来那种,使用体验,正面
23,用着还可以主要按压比较方便不用倒出来那种,整体,正面
24,物流很快，商品好。支持**。,物流,正面
24,物流很快，商品好。支持**。,整体,正面
25,太好用了，味道也很好闻，大爱！,整体,正面
25,太好用了，味道也很好闻，大爱！,气味,正面
26,和实体店买的一样，还送有一个面膜，用了优惠券，太合适了,价格,正面
26,和实体店买的一样，还送有一个面膜，用了优惠券，太合适了,整体,正面
27,收到货了物流特别快隔离特别好,物流,正面
27,收到货了物流特别快隔离特别好,功效,正面
28,很好用，一直都买这个牌子的，无限回购，物美价廉，持续囤货中。,整体,正面
28,很好用，一直都买这个牌子的，无限回购，物美价廉，持续囤货中。,价格,正面
29,感觉还好吧，第一次用隔离，一开始操作失误出现点小问题，味道还好，送了卸妆水和面膜都挺好用的,整体,正面
29,感觉还好吧，第一次用隔离，一开始操作失误出现点小问题，味道还好，送了卸妆水和面膜都挺好用的,气味,正面
30,已经用了7张，感觉水水嫩嫩的，不过在使用时，每包的乳液有不同，有的多，有的少，总之，效果OK,成分,中性
30,已经用了7张，感觉水水嫩嫩的，不过在使用时，每包的乳液有不同，有的多，有的少，总之，效果OK,使用体验,正面
31,物流好快昨天下的单今天就到了，第一次用感觉挺好的！,物流,正面
31,物流好快昨天下的单今天就到了，第一次用感觉挺好的！,整体,正面
32,发货很快，活动期间买的，特别合算，面膜纸贴合很好，精华也蛮多，可以用好久了,物流,正面
